branch_id	branch_type	n_shared_genes	n_fix_non_na	n_free_non_na	support_percent	discordance_percent
B355	internal	5	4	3	75.0000000000	25.0000000000
B356	internal	5	5	1	20.0000000000	80.0000000000
B357	internal	5	5	4	80.0000000000	20.0000000000
B358	internal	5	3	2	66.6666666667	33.3333333333
B359	internal	5	3	3	100.0000000000	0.0000000000
B360	internal	5	3	3	100.0000000000	0.0000000000
B361	internal	5	4	2	50.0000000000	50.0000000000
B362	internal	5	5	3	60.0000000000	40.0000000000
B363	internal	5	4	3	75.0000000000	25.0000000000
B364	internal	5	4	3	75.0000000000	25.0000000000
B365	internal	5	5	4	80.0000000000	20.0000000000
B366	internal	5	5	4	80.0000000000	20.0000000000
B367	internal	5	5	2	40.0000000000	60.0000000000
B368	internal	5	5	3	60.0000000000	40.0000000000
B369	internal	5	5	2	40.0000000000	60.0000000000
B370	internal	5	5	1	20.0000000000	80.0000000000
B371	internal	5	5	1	20.0000000000	80.0000000000
B372	internal	5	5	5	100.0000000000	0.0000000000
B373	internal	5	4	4	100.0000000000	0.0000000000
B374	internal	5	5	5	100.0000000000	0.0000000000
B375	internal	5	5	5	100.0000000000	0.0000000000
B376	internal	5	5	5	100.0000000000	0.0000000000
B377	internal	5	5	1	20.0000000000	80.0000000000
B378	internal	5	5	4	80.0000000000	20.0000000000
B379	internal	5	5	4	80.0000000000	20.0000000000
B380	internal	5	5	5	100.0000000000	0.0000000000
B381	internal	5	4	1	25.0000000000	75.0000000000
B382	internal	5	5	4	80.0000000000	20.0000000000
B383	internal	5	5	5	100.0000000000	0.0000000000
B384	internal	5	5	4	80.0000000000	20.0000000000
B385	internal	5	5	4	80.0000000000	20.0000000000
B386	internal	5	5	0	0.0000000000	100.0000000000
B387	internal	5	5	3	60.0000000000	40.0000000000
B388	internal	5	5	2	40.0000000000	60.0000000000
B389	internal	5	5	4	80.0000000000	20.0000000000
B390	internal	5	5	4	80.0000000000	20.0000000000
B391	internal	5	5	3	60.0000000000	40.0000000000
B392	internal	5	5	4	80.0000000000	20.0000000000
B393	internal	5	5	3	60.0000000000	40.0000000000
B394	internal	5	5	4	80.0000000000	20.0000000000
B395	internal	5	5	3	60.0000000000	40.0000000000
B396	internal	5	5	3	60.0000000000	40.0000000000
B397	internal	5	5	3	60.0000000000	40.0000000000
B398	internal	5	4	3	75.0000000000	25.0000000000
B399	internal	5	5	3	60.0000000000	40.0000000000
B400	internal	5	5	2	40.0000000000	60.0000000000
B401	internal	5	5	4	80.0000000000	20.0000000000
B402	internal	5	5	3	60.0000000000	40.0000000000
B403	internal	5	5	4	80.0000000000	20.0000000000
B404	internal	5	5	5	100.0000000000	0.0000000000
B405	internal	5	5	3	60.0000000000	40.0000000000
B406	internal	5	5	5	100.0000000000	0.0000000000
B407	internal	5	5	4	80.0000000000	20.0000000000
B408	internal	5	5	5	100.0000000000	0.0000000000
B409	internal	5	5	4	80.0000000000	20.0000000000
B410	internal	5	4	3	75.0000000000	25.0000000000
B411	internal	5	4	2	50.0000000000	50.0000000000
B412	internal	5	5	3	60.0000000000	40.0000000000
B413	internal	5	5	1	20.0000000000	80.0000000000
B414	internal	5	5	3	60.0000000000	40.0000000000
B415	internal	5	3	3	100.0000000000	0.0000000000
B416	internal	5	4	3	75.0000000000	25.0000000000
B417	internal	5	5	2	40.0000000000	60.0000000000
B418	internal	5	5	3	60.0000000000	40.0000000000
B419	internal	5	5	4	80.0000000000	20.0000000000
B420	internal	5	5	4	80.0000000000	20.0000000000
B421	internal	5	5	4	80.0000000000	20.0000000000
B422	internal	5	4	4	100.0000000000	0.0000000000
B423	internal	5	5	5	100.0000000000	0.0000000000
B424	internal	5	4	3	75.0000000000	25.0000000000
B425	internal	5	5	2	40.0000000000	60.0000000000
B426	internal	5	5	3	60.0000000000	40.0000000000
B427	internal	5	4	3	75.0000000000	25.0000000000
B428	internal	5	4	1	25.0000000000	75.0000000000
B429	internal	5	5	4	80.0000000000	20.0000000000
B430	internal	5	5	3	60.0000000000	40.0000000000
B431	internal	5	4	1	25.0000000000	75.0000000000
B432	internal	5	4	0	0.0000000000	100.0000000000
B433	internal	5	5	5	100.0000000000	0.0000000000
B434	internal	5	5	3	60.0000000000	40.0000000000
B435	internal	5	4	4	100.0000000000	0.0000000000
B436	internal	5	5	3	60.0000000000	40.0000000000
B437	internal	5	5	4	80.0000000000	20.0000000000
B438	internal	5	5	3	60.0000000000	40.0000000000
B439	internal	5	5	4	80.0000000000	20.0000000000
B440	internal	5	4	4	100.0000000000	0.0000000000
B441	internal	5	5	4	80.0000000000	20.0000000000
B442	internal	5	5	1	20.0000000000	80.0000000000
B443	internal	5	5	4	80.0000000000	20.0000000000
B444	internal	5	5	3	60.0000000000	40.0000000000
B445	internal	5	5	4	80.0000000000	20.0000000000
B446	internal	5	4	4	100.0000000000	0.0000000000
B447	internal	5	4	4	100.0000000000	0.0000000000
B448	internal	5	4	3	75.0000000000	25.0000000000
B449	internal	5	5	5	100.0000000000	0.0000000000
B450	internal	5	5	4	80.0000000000	20.0000000000
B451	internal	5	5	1	20.0000000000	80.0000000000
B452	internal	5	5	2	40.0000000000	60.0000000000
B453	internal	5	5	3	60.0000000000	40.0000000000
B454	internal	5	5	3	60.0000000000	40.0000000000
B455	internal	5	5	4	80.0000000000	20.0000000000
B456	internal	5	5	3	60.0000000000	40.0000000000
B457	internal	5	5	5	100.0000000000	0.0000000000
B458	internal	5	5	5	100.0000000000	0.0000000000
B459	internal	5	4	4	100.0000000000	0.0000000000
B460	internal	5	4	3	75.0000000000	25.0000000000
B461	internal	5	4	3	75.0000000000	25.0000000000
B462	internal	5	4	2	50.0000000000	50.0000000000
B463	internal	5	4	3	75.0000000000	25.0000000000
B464	internal	5	4	2	50.0000000000	50.0000000000
B465	internal	5	5	4	80.0000000000	20.0000000000
B466	internal	5	5	4	80.0000000000	20.0000000000
B467	internal	5	5	5	100.0000000000	0.0000000000
B468	internal	5	5	4	80.0000000000	20.0000000000
B469	internal	5	5	4	80.0000000000	20.0000000000
B470	internal	5	5	2	40.0000000000	60.0000000000
B471	internal	5	5	1	20.0000000000	80.0000000000
B472	internal	5	5	5	100.0000000000	0.0000000000
B473	internal	5	5	5	100.0000000000	0.0000000000
B474	internal	5	5	5	100.0000000000	0.0000000000
B475	internal	5	5	5	100.0000000000	0.0000000000
B476	internal	5	4	4	100.0000000000	0.0000000000
B477	internal	5	4	4	100.0000000000	0.0000000000
B478	internal	5	5	4	80.0000000000	20.0000000000
B479	internal	5	5	5	100.0000000000	0.0000000000
B480	internal	5	5	4	80.0000000000	20.0000000000
B481	internal	5	5	3	60.0000000000	40.0000000000
